width,atoms,bins,Bin sort,Nearest neighbor,Total elapsed time
1,500,10,0.08143313461914659,,0.7343832552433014
1,750,15,0.07897156616672873,,0.7214976409450173
1,1000,20,0.08300801878795028,,0.7533386331051588
1,100,2,0.05525822285562754,,0.5543700871057808
1,150,3,0.08238194463774562,,0.8352668709121644
1,200,4,0.0847995849326253,,0.7806035662069917
1,250,5,0.07941529806703329,,0.7354701710864902
1,300,6,0.07973770424723625,,0.734533024020493
1,350,7,0.0841631987132132,,0.7416726518422365
1,400,8,0.07952988101169467,,0.7534529748372734
1,450,9,0.07576326932758093,,0.703999015968293
2,2000,40,0.3226287877187133,,1.9099588170647621
2,3000,60,0.3181729158386588,,1.919546301010996
2,4000,80,0.31695436127483845,,1.8622028352692723
2,400,8,0.21463528089225292,,1.4598654774017632
2,600,12,0.31567785097286105,,2.111548123881221
2,800,16,0.3206055401824415,,1.8789455401711166
2,1000,20,0.3231748635880649,,2.0412943521514535
2,1200,24,0.3125440161675215,,1.9283203538507223
2,1400,28,0.3259628680534661,,1.9835632550530136
2,1600,32,0.31686644116416574,,1.8815937112085521
2,1800,36,0.31261789985001087,,1.9231634861789644
1,500,10,0.11816879315301776,,1.0291894152760506
1,750,15,0.09232984716072679,,0.8163516148924828
1,500,10,0.09699621517211199,,0.8418077370151877
1,500,10,0.09308268036693335,,0.8510175351984799
1,1000,20,0.08314001932740211,,0.7345418380573392
1,750,15,0.08893622271716595,,0.7973245540633798
1,750,15,0.09263872262090445,,0.8100213301368058
1,100,2,0.0522583220154047,,0.5252828411757946
1,1000,20,0.07998191984370351,,0.7320321691222489
1,1000,20,0.08171552466228604,,0.7335658827796578
1,150,3,0.07674053590744734,,0.7700971239246428
1,100,2,0.0519881509244442,,0.5249887206591666
1,100,2,0.05107577284798026,,0.5312114162370563
1,200,4,0.07920346595346928,,0.7199946451000869
1,150,3,0.07755036652088165,,0.7722752797417343
1,150,3,0.07622713781893253,,0.778500413056463
1,250,5,0.08028414379805326,,0.7321766256354749
1,200,4,0.08483718102797866,,0.7749374629929662
1,200,4,0.08584282035008073,,0.797483301255852
1,300,6,0.08118106238543987,,0.7431146684102714
1,250,5,0.08320081187412143,,0.7452560979872942
1,250,5,0.082896972540766,,0.7658646288327873
1,350,7,0.08095387369394302,,0.723115798085928
1,300,6,0.07766380161046982,,0.7167390757240355
1,300,6,0.07696091895923018,,0.7133145900443196
1,400,8,0.07917510438710451,,0.7443940262310207
1,350,7,0.07976723881438375,,0.7109669516794384
1,350,7,0.07838862668722868,,0.7150392211042345
1,450,9,0.07460143184289336,,0.6862380527891219
1,400,8,0.08046221872791648,,0.7429880001582205
1,400,8,0.07843572366982698,,0.751586748752743
1,450,9,0.07578549534082413,,0.6890134080313146
1,450,9,0.0737773347645998,,0.6912254029884934
2,2000,40,0.31976743694394827,,1.923018931876868
2,2000,40,0.3198835044167936,,1.9394290740601718
2,2000,40,0.314320869743824,,1.9299294189549983
2,3000,60,0.31458634976297617,,1.8976714313030243
2,3000,60,0.31657245103269815,,1.9237134982831776
2,3000,60,0.3109117792919278,,1.9195112180896103
2,4000,80,0.31008552806451917,,1.8358943057246506
2,4000,80,0.31075066654011607,,1.8509276923723519
2,4000,80,0.30405039386823773,,1.8565480466932058
2,400,8,0.21058320673182607,,1.4557499303482473
2,400,8,0.21272868057712913,,1.4716208707541227
2,400,8,0.2134842686355114,,1.4782355409115553
2,600,12,0.31835805252194405,,2.149097747169435
2,600,12,0.32053267769515514,,2.1551011097617447
2,600,12,0.3126389244571328,,2.1539661777205765
2,800,16,0.3201180216856301,,1.9080883129499853
2,800,16,0.3198351049795747,,1.9242641730234027
2,800,16,0.31283483328297734,,1.9352253107354045
2,1000,20,0.32653094781562686,,2.0645003081299365
2,1000,20,0.32587914168834686,,2.088575115427375
2,1000,20,0.32008059648796916,,2.0857558860443532
2,1200,24,0.31627106526866555,,1.9647364970296621
2,1200,24,0.3200185769237578,,1.97450151713565
2,1200,24,0.3125799037516117,,1.9888242073357105
2,1400,28,0.3269337951205671,,1.9948207782581449
2,1400,28,0.32877089362591505,,2.0288328547030687
2,1400,28,0.32341956067830324,,2.0256917807273567
2,1600,32,0.3166930750012398,,1.9103194042108953
2,1600,32,0.3176931058987975,,1.9131304463371634
2,1600,32,0.31602396443486214,,1.9388328026980162
2,1800,36,0.31735837226733565,,1.9712678859941661
2,1800,36,0.32125829067081213,,1.9925708789378405
2,1800,36,0.32011407194659114,,2.013347065076232
